instituicao,cod_ibge,uf,populacao,indicador_1,Nota_1,indicador_2,Nota_2,indicador_3,nota_3,classificacao_capag
Prefeitura Municipal de Alto Alegre do Pindaré - MA,2100477,MA,31894,,n.d.,"113,53%",C,"43,68%",A,n.d.
Prefeitura Municipal de Alto Alegre dos Parecis - RO,1100379,RO,13227,"9,33%",A,"94,01%",B,"2,88%",A,B
Prefeitura Municipal de Alto Araguaia - MT,5100300,MT,18703,"4,11%",A,,n.d.,"417,93%",C,n.d.
Prefeitura Municipal de Alto Bela Vista - SC,4200754,SC,1948,,n.d.,"89,81%",A,"21,69%",A,n.d.
Prefeitura Municipal de Alto Boa Vista - MT,5100359,MT,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alto Caparaó - MG,3102050,MG,5799,"5,15%",A,"92,08%",B,,n.d.,n.d.
Prefeitura Municipal de Alto do Rodrigues - RN,2400703,RN,14326,"1,44%",A,"98,52%",C,"153,47%",C,C
Prefeitura Municipal de Alto Feliz - RS,4300570,RS,3020,"3,03%",A,"73,23%",A,"1,83%",A,A
Prefeitura Municipal de Alto Garças - MT,5100409,MT,11868,"4,03%",A,"87,50%",A,"9,74%",A,A
Prefeitura Municipal de Alto Horizonte - GO,5200555,GO,6218,"2,92%",A,"82,10%",A,"11,98%",A,A
Prefeitura Municipal de Alto Jequitibá - MG,3153509,MG,8333,"6,93%",A,"91,60%",B,"27,86%",A,B
Prefeitura Municipal de Alto Longá - PI,2200301,PI,14268,,n.d.,"96,26%",C,"0,00%",n.d.,n.d.
Prefeitura Municipal de Alto Paraguai - MT,5100508,MT,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alto Paraíso - PR,4128625,PR,2799,"9,60%",A,"91,69%",B,"0,57%",A,B
Prefeitura Municipal de Alto Paraíso - RO,1100403,RO,20999,"1,13%",A,"-463,79%",A,"-0,10%",C,C
Prefeitura Municipal de Alto Paraíso de Goiás - GO,5200605,GO,7558,"10,01%",A,"92,52%",B,"2,81%",A,B
Prefeitura Municipal de Alto Paraná - PR,4100608,PR,14679,"9,10%",A,"83,23%",A,"22,77%",A,A
Prefeitura Municipal de Alto Parnaíba - MA,2100501,MA,11168,"2,94%",A,"99,50%",C,,n.d.,n.d.
Prefeitura Municipal de Alto Piquiri - PR,4100707,PR,9896,"7,95%",A,,n.d.,"49,40%",A,n.d.
Prefeitura Municipal de Alto Rio Doce - MG,3102100,MG,11146,"3,10%",A,"94,59%",B,"3,58%",A,B
Prefeitura Municipal de Alto Rio Novo - ES,3200359,ES,7798,"66,19%",B,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alto Santo - CE,2300705,CE,17096,"22,33%",A,"101,25%",C,"238,85%",C,C
Prefeitura Municipal de Alto Taquari - MT,5100607,MT,10557,"7,18%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Altônia - PR,4100509,PR,21933,"5,05%",A,"90,77%",B,"-31,32%",C,C
Prefeitura Municipal de Altos - PI,2200400,PI,40440,"32,74%",A,"98,35%",C,"3,93%",A,C
Prefeitura Municipal de Alumínio - SP,3501152,SP,18484,"66,84%",B,"88,87%",A,"32,20%",A,B
Prefeitura Municipal de Alvarães - AM,1300029,AM,15860,"1,54%",A,"94,70%",B,"249,54%",C,C
Prefeitura Municipal de Alvarenga - MG,3102209,MG,3973,"4,63%",A,"98,66%",C,"84,27%",A,C
Prefeitura Municipal de Álvares Florence - SP,3501202,SP,3712,"11,75%",A,"98,94%",C,"0,00%",n.d.,n.d.
Prefeitura Municipal de Álvares Machado - SP,3501301,SP,24830,"7,40%",A,"97,97%",C,,n.d.,n.d.
Prefeitura Municipal de Álvaro de Carvalho - SP,3501400,SP,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alvinlândia - SP,3501509,SP,3206,"11,58%",A,"91,69%",B,"8,18%",A,B
Prefeitura Municipal de Alvinópolis - MG,3102308,MG,15239,"11,89%",A,"84,18%",A,"465,31%",C,C
Prefeitura Municipal de Alvorada - RS,4300604,RS,209213,"11,90%",A,"83,13%",A,"62,05%",A,A
Prefeitura Municipal de Alvorada - TO,1700707,TO,8427,"20,34%",A,"74,48%",A,"11,75%",A,A
Prefeitura Municipal de Alvorada de Minas - MG,3102407,MG,3606,,n.d.,"90,08%",B,"24,98%",A,n.d.
Prefeitura Municipal de Alvorada do Gurguéia - PI,2200459,PI,5392,,n.d.,"106,06%",C,"73,35%",A,n.d.
Prefeitura Municipal de Alvorada do Norte - GO,5200803,GO,8614,"13,58%",A,,n.d.,"852,20%",C,n.d.
Prefeitura Municipal de Alvorada do Sul - PR,4100806,PR,11306,"11,74%",A,"83,89%",A,"7,54%",A,A
Prefeitura Municipal de Alvorada D'Oeste - RO,1100346,RO,14722,"19,46%",A,,n.d.,"65,91%",A,n.d.
Prefeitura Municipal de Amajari - RR,1400027,RR,12394,"3,16%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Amambai - MS,5000609,MS,38958,"4,91%",A,"92,49%",B,"193,90%",C,C
Prefeitura Municipal de Amapá - AP,1600105,AP,9029,"32,26%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Amapá do Maranhão - MA,2100550,MA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Amaporã - PR,4100905,PR,6181,"6,26%",A,"91,03%",B,"0,32%",A,B
Prefeitura Municipal de Amaraji - PE,2600906,PE,22788,"28,99%",A,"109,44%",C,"375,60%",C,C
Prefeitura Municipal de Amaral Ferrador - RS,4300638,RS,6974,"14,61%",A,"97,83%",C,"-161,67%",C,C
Prefeitura Municipal de Amaralina - GO,5200829,GO,3778,,n.d.,"92,81%",B,"54,98%",A,n.d.
Prefeitura Municipal de Amarante - PI,2200509,PI,17592,,n.d.,"109,53%",C,"237,72%",C,n.d.
Prefeitura Municipal de Amarante do Maranhão - MA,2100600,MA,41136,"11,64%",A,,n.d.,"-12,61%",C,n.d.
Prefeitura Municipal de Amargosa - BA,2901007,BA,37031,"69,25%",B,"96,44%",C,"171,04%",C,C
Prefeitura Municipal de Amaturá - AM,1300060,AM,11332,"0,65%",A,"97,37%",C,"9,91%",A,C
Prefeitura Municipal de Amélia Rodrigues - BA,2901106,BA,25224,"50,33%",A,"100,65%",C,,n.d.,n.d.
Prefeitura Municipal de América Dourada - BA,2901155,BA,16097,"27,55%",A,"95,05%",C,"241,72%",C,C
Prefeitura Municipal de Americana - SP,3501608,SP,237112,"88,22%",B,"90,63%",B,"0,00%",n.d.,n.d.
Prefeitura Municipal de Americano do Brasil - GO,5200852,GO,6057,,n.d.,"97,11%",C,"65,99%",A,n.d.
Prefeitura Municipal de Américo Brasiliense - SP,3501707,SP,39962,"2,06%",A,"97,75%",C,"34,67%",A,C
Prefeitura Municipal de Américo de Campos - SP,3501806,SP,5956,"22,57%",A,"207,24%",C,"45,10%",A,C
Prefeitura Municipal de Ametista do Sul - RS,4300646,RS,7416,"3,26%",A,"79,49%",A,"5,71%",A,A
Prefeitura Municipal de Amontada - CE,2300754,CE,43131,"38,17%",A,"86,19%",A,,n.d.,n.d.
Prefeitura Municipal de Amorinópolis - GO,5200902,GO,3185,"36,72%",A,"97,31%",C,"27,02%",A,C
Prefeitura Municipal de Amparo - PB,2500734,PB,2227,"12,60%",A,"98,16%",C,"89,30%",A,C
Prefeitura Municipal de Amparo - SP,3501905,SP,71700,"1,44%",A,"95,01%",C,"56,64%",A,C
Prefeitura Municipal de Amparo de São Francisco - SE,2800100,SE,2368,"0,83%",A,"101,67%",C,,n.d.,n.d.
Prefeitura Municipal de Amparo do Serra - MG,3102506,MG,4751,"9,24%",A,"94,38%",B,"39,76%",A,B
Prefeitura Municipal de Ampére - PR,4101002,PR,18989,"9,31%",A,"88,36%",A,"105,91%",C,C
Prefeitura Municipal de Anadia - AL,2700201,AL,17564,"31,25%",A,"84,63%",A,,n.d.,n.d.
Prefeitura Municipal de Anagé - BA,2901205,BA,18194,"100,47%",B,,n.d.,"681,09%",C,n.d.
Prefeitura Municipal de Anahy - PR,4101051,PR,2816,"10,81%",A,"92,44%",B,"-3,49%",C,C
Prefeitura Municipal de Anajás - PA,1500701,PA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Anajatuba - MA,2100709,MA,26614,,n.d.,,n.d.,"2,73%",A,n.d.
Prefeitura Municipal de Analândia - SP,3502002,SP,4933,"16,31%",A,"99,35%",C,"404,79%",C,C
Prefeitura Municipal de Anamã - AM,1300086,AM,13269,"0,65%",A,"93,94%",B,"22,55%",A,B
Prefeitura Municipal de Ananás - TO,1701002,TO,9607,"87,09%",B,"94,30%",B,"543,95%",C,C
Prefeitura Municipal de Ananindeua - PA,1500800,PA,525566,"6,06%",A,"93,81%",B,"-0,56%",C,C
Prefeitura Municipal de Anápolis - GO,5201108,GO,381970,"19,41%",A,"105,91%",C,"125,83%",C,C
Prefeitura Municipal de Anapu - PA,1500859,PA,27161,"4,02%",A,"99,29%",C,,n.d.,n.d.
Prefeitura Municipal de Anapurus - MA,2100808,MA,15566,,n.d.,,n.d.,"442,20%",C,n.d.
Prefeitura Municipal de Anastácio - MS,5000708,MS,25128,"1,16%",A,"85,50%",A,,n.d.,n.d.
Prefeitura Municipal de Anaurilândia - MS,5000807,MS,8993,"24,38%",A,"99,45%",C,"2,34%",A,C
