cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
290040.0,BA,�gua Fria,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16901,NE,0.55,0.529,1.7787,0.5929,0.7615000000000001,1.0,1.0
520017.0,GO,�gua Fria de Goi�s,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5676,CO,0.6709999999999999,0.672,2.1036,0.7012,0.9079,1.0,1.0
520020.0,GO,�gua Limpa,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1872,CO,0.722,0.691,2.2433,0.7477666666666667,0.9817,1.0,1.0
240040.0,RN,�gua Nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3230,NE,0.616,0.527,1.2885,0.4295,0.1806,0.0,0.0
260040.0,PE,�gua Preta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36454,NE,0.5529999999999999,0.514,7.244499999999999,2.414833333333333,0.9486,1.0,1.0
430005.0,RS,�gua Santa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3753,S,0.75,0.84,1.505,0.5016666666666666,0.5969,1.0,1.0
350030.0,SP,Agua�,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35954,SE,0.715,0.703,1.1625,0.3875,0.1943,0.0,0.0
310080.0,MG,Aguanil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4448,SE,0.6629999999999999,0.672,0.013500000000000002,0.0045000000000000005,0.0,0.0,0.0
260050.0,PE,�guas Belas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43195,NE,0.526,0.546,25.8969,8.6323,0.9667,0.0,0.0
350040.0,SP,�guas da Prata,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8137,SE,0.7809999999999999,0.75,1.9304,0.6434666666666666,0.7888,1.0,1.0
